study order,loc1x,loc1y,block,angle,loc3x,loc3y,loc2x,loc2y,loc1-loc2dist,loc1-loc3dist,loc2-loc3dist,picid,contextid,cond,study order,refresh order,recog order,same/diff,same/diff rt,recog button,recog loc,recog rt
1,1201.0,155.0,1,-60,1461.0,622.0,1736.0,164.0,536,536,536,24,7,2,1,2,13,1,70,6,1,26
2,113.0,435.0,1,60,771.0,128.0,707.0,851.0,726,726,726,48,7,2,2,9,6,1,55,6,1,36
3,1441.0,199.0,1,-60,1156.0,750.0,1776.0,722.0,622,622,622,122,7,1,3,14,5,3,72,6,3,56
4,592.0,500.0,1,-60,841.0,945.0,1102.0,508.0,511,511,511,54,7,2,4,6,15,1,100,6,1,29
5,1621.0,503.0,1,60,1090.0,951.0,967.0,267.0,696,696,696,127,7,2,5,12,12,1,78,8,1,21
6,841.0,778.0,1,60,1182.0,123.0,1578.0,746.0,738,738,738,108,7,1,6,5,8,2,61,6,1,26
7,1542.0,737.0,1,60,897.0,957.0,1028.0,288.0,683,683,683,79,7,2,7,4,1,1,63,8,1,26
8,700.0,394.0,1,60,809.0,892.0,322.0,737.0,511,511,511,92,7,1,8,10,14,1,90,7,1,33
9,1174.0,579.0,1,60,717.0,954.0,620.0,371.0,592,592,592,102,7,1,9,11,4,2,55,8,1,20
10,625.0,946.0,1,60,301.0,684.0,689.0,534.0,417,417,417,32,7,1,10,8,2,2,68,7,1,58
11,799.0,610.0,1,-60,718.0,302.0,492.0,527.0,319,319,319,4,7,2,11,15,16,1,42,8,1,24
12,979.0,140.0,1,60,1246.0,457.0,837.0,530.0,416,416,416,53,7,2,12,16,11,3,111,7,1,28
13,423.0,281.0,1,60,375.0,595.0,126.0,396.0,319,319,319,18,7,1,13,3,7,3,115,8,1,46
14,1078.0,672.0,1,-60,1539.0,945.0,1545.0,410.0,536,536,536,34,7,1,14,7,9,3,88,6,1,32
15,1386.0,324.0,1,-60,845.0,625.0,1376.0,944.0,621,621,621,77,7,2,15,13,3,1,106,8,1,43
16,537.0,943.0,1,60,239.0,277.0,964.0,352.0,730,730,730,19,7,1,16,1,10,2,81,7,1,25
17,1783.0,887.0,2,60,1498.0,959.0,1578.0,676.0,295,295,295,8,1,2,17,24,18,1,29,8,1,26
18,847.0,855.0,2,60,854.0,126.0,1481.0,496.0,729,729,729,82,1,1,18,30,27,2,72,6,1,53
19,781.0,280.0,2,-60,874.0,724.0,1212.0,422.0,454,454,454,44,1,1,19,25,23,2,148,6,1,34
20,766.0,141.0,2,-60,901.0,564.0,1200.0,236.0,445,445,445,55,1,1,20,17,28,2,79,6,1,36
21,669.0,607.0,2,60,264.0,787.0,310.0,346.0,444,444,444,7,1,2,21,22,26,3,96,6,3,35
22,960.0,764.0,2,-60,1217.0,604.0,950.0,462.0,303,303,303,72,1,2,22,28,32,1,58,7,1,38
23,1454.0,367.0,2,60,1191.0,931.0,833.0,421.0,624,624,624,38,1,2,23,20,22,1,56,8,1,25
24,864.0,822.0,2,60,992.0,210.0,1457.0,627.0,625,625,625,103,1,1,24,26,25,1,90,8,2,27
25,1314.0,690.0,2,-60,1176.0,121.0,752.0,526.0,586,586,586,25,1,1,25,27,19,1,44,8,1,109
26,730.0,578.0,2,-60,1422.0,954.0,1402.0,167.0,788,788,788,21,1,1,26,31,30,2,76,6,1,34
27,381.0,835.0,2,-60,1166.0,931.0,857.0,204.0,791,791,791,43,1,2,27,18,21,1,57,6,1,25
28,1206.0,709.0,2,-60,1420.0,308.0,966.0,324.0,454,454,454,67,1,2,28,21,17,1,51,7,1,42
29,1693.0,157.0,2,-60,1439.0,320.0,1708.0,459.0,303,303,303,13,1,1,29,29,29,2,41,8,2,54
30,1327.0,397.0,2,-60,821.0,533.0,1192.0,904.0,525,525,525,60,1,2,30,32,31,1,41,8,1,118
31,1612.0,869.0,2,60,1088.0,831.0,1382.0,396.0,526,526,526,52,1,1,31,23,20,3,116,7,2,28
32,350.0,366.0,2,-60,646.0,955.0,1008.0,405.0,660,660,660,2,1,2,32,19,24,1,73,6,1,31
33,1673.0,719.0,3,-60,1318.0,127.0,983.0,731.0,691,691,691,115,5,1,33,47,42,2,45,8,1,49
34,1195.0,868.0,3,60,1305.0,354.0,1694.0,706.0,525,525,525,29,5,2,34,38,36,1,65,6,1,25
35,743.0,215.0,3,60,1075.0,596.0,579.0,693.0,506,506,506,66,5,2,35,34,34,1,41,7,1,26
36,1300.0,251.0,3,-60,921.0,720.0,1517.0,815.0,605,605,605,39,5,2,36,45,37,1,31,7,1,30
37,783.0,788.0,3,-60,799.0,354.0,415.0,558.0,434,434,434,83,5,2,37,40,46,2,98,7,1,40
38,221.0,960.0,3,60,491.0,121.0,1082.0,774.0,881,881,881,10,5,2,38,46,48,1,40,6,1,38
39,1372.0,792.0,3,-60,1553.0,125.0,885.0,302.0,691,691,691,57,5,1,39,37,38,2,82,7,1,23
40,436.0,744.0,3,60,624.0,125.0,1065.0,597.0,646,646,646,74,5,2,40,36,41,1,50,6,1,28
41,614.0,819.0,3,60,940.0,127.0,1375.0,755.0,764,764,764,47,5,1,41,44,47,2,68,6,1,21
42,372.0,248.0,3,-60,217.0,955.0,907.0,736.0,725,725,725,119,5,2,42,39,43,3,61,7,1,48
43,1255.0,814.0,3,60,1419.0,334.0,1752.0,716.0,507,507,507,90,5,1,43,42,44,2,55,6,1,26
44,988.0,386.0,3,60,784.0,604.0,697.0,318.0,299,299,299,110,5,2,44,35,39,1,72,6,2,39
45,912.0,181.0,3,-60,814.0,696.0,1309.0,524.0,525,525,525,107,5,1,45,48,35,2,48,7,1,23
46,611.0,652.0,3,-60,1045.0,676.0,849.0,289.0,435,435,435,106,5,1,46,41,40,2,62,7,2,45
47,1186.0,938.0,3,-60,1166.0,333.0,652.0,653.0,606,606,606,70,5,1,47,33,33,2,57,8,1,49
48,148.0,640.0,3,60,436.0,724.0,218.0,931.0,300,300,300,113,5,1,48,43,45,2,52,6,1,23
49,786.0,939.0,4,-60,769.0,656.0,532.0,813.0,284,284,284,80,8,1,49,58,64,2,35,8,1,46
50,1730.0,210.0,4,-60,1024.0,422.0,1561.0,928.0,738,738,738,22,8,1,50,60,57,2,25,8,1,26
51,1031.0,806.0,4,60,680.0,899.0,774.0,548.0,365,365,365,88,8,2,51,55,51,1,43,8,1,28
52,1294.0,482.0,4,60,974.0,825.0,836.0,376.0,471,471,471,84,8,2,52,56,52,2,45,8,1,23
53,1583.0,405.0,4,-60,1117.0,477.0,1413.0,845.0,472,472,472,94,8,1,53,61,55,2,61,7,2,36
54,1321.0,459.0,4,60,1171.0,127.0,1533.0,163.0,365,365,365,120,8,1,54,52,53,3,65,7,1,28
55,479.0,773.0,4,60,560.0,235.0,985.0,574.0,544,544,544,45,8,1,55,50,60,2,44,6,1,25
56,896.0,477.0,4,-60,1016.0,220.0,734.0,245.0,283,283,283,93,8,2,56,63,63,1,48,7,1,17
57,1067.0,254.0,4,60,810.0,959.0,327.0,384.0,752,752,752,27,8,1,57,53,56,2,54,8,1,28
58,1727.0,640.0,4,60,1187.0,952.0,1186.0,328.0,625,625,625,125,8,2,58,51,59,1,63,8,1,32
59,1315.0,772.0,4,60,1027.0,311.0,1570.0,292.0,544,544,544,40,8,2,59,59,61,1,36,7,1,23
60,405.0,585.0,4,60,992.0,307.0,939.0,954.0,650,650,650,46,8,1,60,54,49,2,53,6,1,26
61,223.0,392.0,4,-60,804.0,956.0,1002.0,172.0,810,810,810,87,8,2,61,49,54,1,48,6,1,22
62,840.0,683.0,4,-60,1522.0,954.0,1416.0,229.0,734,734,734,65,8,1,62,64,62,2,31,6,1,26
63,406.0,642.0,4,60,510.0,127.0,903.0,474.0,525,525,525,9,8,2,63,62,50,1,28,6,1,20
64,1620.0,529.0,4,60,1227.0,954.0,1055.0,401.0,580,580,580,126,8,2,64,57,58,1,50,8,1,24
65,125.0,172.0,5,-60,207.0,652.0,582.0,342.0,488,488,488,26,2,2,65,67,75,3,73,6,1,67
66,1266.0,801.0,5,-60,1046.0,259.0,687.0,721.0,585,585,585,128,2,1,66,70,68,3,67,8,1,20
67,499.0,129.0,5,60,1092.0,543.0,436.0,849.0,723,723,723,63,2,2,67,77,72,1,73,7,1,54
68,444.0,125.0,5,-60,594.0,403.0,760.0,135.0,317,317,317,111,2,1,68,65,76,3,104,8,2,64
69,1456.0,444.0,5,60,946.0,956.0,757.0,258.0,724,724,724,95,2,1,69,78,70,3,88,8,1,134
70,980.0,826.0,5,-60,987.0,510.0,710.0,663.0,316,316,316,86,2,2,70,66,73,1,65,7,1,41
71,1283.0,846.0,5,60,1212.0,265.0,1750.0,494.0,585,585,585,36,2,2,71,68,71,1,37,7,1,46
72,495.0,873.0,5,-60,699.0,459.0,239.0,490.0,461,461,461,91,2,1,72,73,66,2,57,7,1,19
73,553.0,178.0,5,60,1358.0,294.0,854.0,933.0,813,813,813,42,2,1,73,69,74,2,47,7,2,33
74,252.0,917.0,5,60,230.0,465.0,632.0,672.0,453,453,453,123,2,1,74,74,77,2,55,7,1,47
75,1113.0,860.0,5,60,665.0,756.0,979.0,420.0,460,460,460,49,2,2,75,71,78,1,51,8,1,32
76,1573.0,208.0,5,60,1772.0,957.0,1023.0,755.0,776,776,776,33,2,1,76,79,80,3,107,7,1,32
77,427.0,471.0,5,-60,869.0,912.0,1030.0,309.0,625,625,625,1,2,2,77,76,65,3,75,6,1,41
78,287.0,743.0,5,60,579.0,124.0,968.0,686.0,684,684,684,68,2,2,78,75,67,1,50,6,1,29
79,806.0,226.0,5,-60,499.0,557.0,939.0,658.0,453,453,453,76,2,2,79,80,69,1,54,7,1,30
80,839.0,542.0,5,-60,1294.0,956.0,1425.0,356.0,615,615,615,61,2,1,80,72,79,3,73,7,3,25
81,1210.0,686.0,6,60,1352.0,272.0,1639.0,602.0,438,438,438,64,6,2,81,83,86,1,52,6,1,22
82,1729.0,754.0,6,-60,1717.0,316.0,1344.0,546.0,438,438,438,112,6,1,82,93,88,2,31,8,1,45
83,1383.0,919.0,6,60,726.0,895.0,1075.0,338.0,658,658,658,5,6,2,83,96,92,1,36,8,1,23
84,1370.0,928.0,6,-60,1233.0,219.0,687.0,693.0,723,723,723,15,6,1,84,84,90,2,51,8,1,44
85,1631.0,331.0,6,-60,822.0,173.0,1090.0,953.0,825,825,825,73,6,2,85,90,89,1,45,8,1,22
86,1285.0,939.0,6,60,646.0,780.0,1102.0,306.0,659,659,659,58,6,1,86,82,94,2,70,8,1,24
87,1542.0,327.0,6,-60,1262.0,456.0,1514.0,635.0,310,310,310,69,6,1,87,87,96,2,76,8,1,39
88,1773.0,163.0,6,-60,1189.0,446.0,1726.0,811.0,650,650,650,81,6,2,88,86,83,1,83,8,1,27
89,1438.0,177.0,6,60,1589.0,882.0,902.0,660.0,722,722,722,71,6,2,89,94,91,3,75,7,1,20
90,278.0,146.0,6,-60,417.0,953.0,1047.0,430.0,820,820,820,14,6,1,90,88,84,2,44,8,2,38
91,504.0,359.0,6,-60,670.0,957.0,1105.0,515.0,621,621,621,89,6,1,91,91,93,2,64,8,2,31
92,1295.0,448.0,6,60,1237.0,916.0,860.0,632.0,473,473,473,114,6,2,92,92,95,1,43,8,1,35
93,924.0,727.0,6,60,684.0,531.0,973.0,421.0,310,310,310,118,6,2,93,95,85,3,103,7,1,23
94,805.0,657.0,6,-60,778.0,184.0,382.0,444.0,474,474,474,51,6,1,94,81,82,2,73,8,1,27
95,1082.0,918.0,6,60,868.0,427.0,1399.0,487.0,536,536,536,50,6,1,95,85,87,2,59,7,1,21
96,1199.0,925.0,6,-60,1610.0,581.0,1107.0,398.0,535,535,535,62,6,2,96,89,81,3,65,7,1,24
97,1261.0,951.0,7,-60,1648.0,179.0,786.0,231.0,863,863,863,100,4,1,97,112,104,2,53,7,1,20
98,567.0,542.0,7,-60,1195.0,955.0,1239.0,205.0,752,752,752,105,4,1,98,108,103,2,60,6,1,24
99,550.0,161.0,7,60,866.0,708.0,234.0,708.0,632,632,632,99,4,2,99,103,110,1,58,7,1,21
100,896.0,421.0,7,60,424.0,734.0,388.0,169.0,568,568,568,109,4,1,100,111,100,2,91,7,3,23
101,1378.0,494.0,7,60,917.0,554.0,1095.0,125.0,466,466,466,41,4,1,101,99,107,2,77,8,1,32
102,1186.0,785.0,7,60,744.0,640.0,1090.0,330.0,466,466,466,78,4,2,102,101,101,3,65,8,1,35
103,164.0,799.0,7,-60,769.0,959.0,605.0,356.0,626,626,626,12,4,2,103,105,98,1,95,6,1,38
104,301.0,177.0,7,-60,648.0,956.0,1149.0,267.0,853,853,853,35,4,2,104,98,108,1,61,6,1,24
105,1152.0,320.0,7,-60,1357.0,647.0,1538.0,307.0,387,387,387,30,4,1,105,100,97,2,65,8,2,19
106,895.0,571.0,7,-60,803.0,314.0,627.0,523.0,273,273,273,104,4,2,106,97,99,3,71,8,1,22
107,702.0,328.0,7,-60,587.0,958.0,1190.0,743.0,641,641,641,75,4,1,107,109,111,2,56,7,1,40
108,1298.0,264.0,7,60,919.0,684.0,744.0,146.0,567,567,567,11,4,2,108,102,112,3,54,8,1,25
109,1141.0,701.0,7,-60,1017.0,336.0,763.0,627.0,386,386,386,31,4,2,109,106,105,3,70,8,1,44
110,1441.0,249.0,7,-60,979.0,745.0,1640.0,898.0,679,679,679,3,4,2,110,104,106,1,58,7,1,21
111,968.0,888.0,7,60,700.0,935.0,792.0,679.0,274,274,274,101,4,1,111,110,102,3,95,8,1,31
112,689.0,390.0,7,-60,1025.0,925.0,1321.0,367.0,633,633,633,6,4,1,112,107,109,2,44,6,1,23
113,196.0,645.0,8,60,310.0,122.0,705.0,482.0,535,535,535,56,3,2,113,116,124,1,86,6,1,19
114,1785.0,433.0,8,60,1393.0,959.0,1133.0,356.0,657,657,657,28,3,2,114,127,122,1,46,8,1,21
115,620.0,201.0,8,60,695.0,813.0,127.0,572.0,618,618,618,59,3,2,115,115,119,1,104,7,1,24
116,1352.0,387.0,8,-60,1214.0,905.0,1732.0,766.0,537,537,537,98,3,2,116,124,125,1,38,7,1,27
117,313.0,914.0,8,60,111.0,285.0,756.0,424.0,661,661,661,20,3,1,117,121,120,2,66,7,1,21
118,372.0,807.0,8,-60,1219.0,926.0,899.0,134.0,855,855,855,117,3,1,118,123,128,2,41,8,3,22
119,434.0,196.0,8,60,1003.0,438.0,508.0,810.0,619,619,619,23,3,1,119,128,121,2,50,6,1,53
120,1440.0,827.0,8,-60,1194.0,215.0,787.0,735.0,660,660,660,124,3,2,120,118,117,2,85,6,2,92
121,321.0,675.0,8,-60,865.0,951.0,832.0,343.0,610,610,610,121,3,1,121,117,123,2,45,6,1,21
122,837.0,359.0,8,-60,1129.0,811.0,1374.0,333.0,538,538,538,97,3,1,122,114,127,2,38,6,1,17
123,1141.0,601.0,8,-60,906.0,311.0,773.0,660.0,373,373,373,85,3,1,123,119,113,2,95,8,1,21
124,1131.0,703.0,8,60,1323.0,383.0,1503.0,709.0,373,373,373,116,3,2,124,125,118,1,48,6,1,18
125,827.0,487.0,8,-60,543.0,360.0,575.0,670.0,312,312,312,17,3,2,125,126,114,2,44,7,2,22
126,1073.0,524.0,8,-60,923.0,250.0,761.0,518.0,313,313,313,16,3,1,126,122,115,3,76,6,2,18
127,1427.0,189.0,8,-60,985.0,316.0,1316.0,636.0,461,461,461,96,3,1,127,120,126,3,63,7,2,25
128,670.0,446.0,8,-60,1092.0,633.0,1043.0,175.0,462,462,462,37,3,2,128,113,116,1,66,6,1,22
